TIME_PERIOD,TIME_PERIOD_START,TIME_PERIOD_END,PRIMARY_TYPE,AGE,SEX,RACE,JUVENILE_I,DOMESTIC_I,GUNSHOT_INJURY_I,NUMBER_OF_VICTIMS
2008 Q1,01/01/2008,03/31/2008,ROBBERY,0-19,F,WWH,true,true,UNKNOWN,1
2024 Q2,03/01/2024,06/30/2024,BATTERY,50-59,F,WWH,false,true,NO,2
2021 Q3,07/01/2021,09/30/2021,BATTERY,50-59,M,I,false,false,NO,1
2021 Q1,01/01/2021,03/31/2021,BATTERY,40-49,F,UNKNOWN,false,true,NO,1
2009 Q2,03/01/2009,06/30/2009,ROBBERY,0-19,F,UNKNOWN,false,false,UNKNOWN,3
2015 Q3,07/01/2015,09/30/2015,BATTERY,60-69,M,WWH,false,true,NO,4
2015 Q3,07/01/2015,09/30/2015,ASSAULT,30-39,F,WHI,false,true,NO,6
2013 Q3,07/01/2013,09/30/2013,BATTERY,0-19,F,WWH,false,false,NO,3
2011 Q3,07/01/2011,09/30/2011,ROBBERY,20-29,UNKNOWN,BLK,false,false,NO,3
2022 Q3,07/01/2022,09/30/2022,CRIMINAL SEXUAL ASSAULT,60-69,M,WHI,false,false,NO,1
2021 Q1,01/01/2021,03/31/2021,ROBBERY,30-39,F,BLK,false,false,NO,74
2021 Q3,07/01/2021,09/30/2021,ROBBERY,40-49,F,BLK,false,true,NO,5
2003 Q3,07/01/2003,09/30/2003,BATTERY,20-29,F,WBH,false,false,UNKNOWN,2
2019 Q2,03/01/2019,06/30/2019,ASSAULT,50-59,F,BLK,false,false,NO,25
2002 Q4,10/01/2002,12/31/2002,ASSAULT,0-19,F,WHI,true,true,UNKNOWN,1
2002 Q4,10/01/2002,12/31/2002,ROBBERY,40-49,M,WHI,false,false,UNKNOWN,116
2019 Q1,01/01/2019,03/31/2019,BATTERY,0-19,F,API,false,true,NO,1
2015 Q1,01/01/2015,03/31/2015,ASSAULT,40-49,F,WHI,false,false,NO,1
2007 Q2,03/01/2007,06/30/2007,ROBBERY,80+,F,WHI,false,false,UNKNOWN,7
2013 Q4,10/01/2013,12/31/2013,ROBBERY,70-79,M,WHI,false,false,NO,6
2020 Q3,07/01/2020,09/30/2020,BATTERY,20-29,F,BLK,false,false,NO,97
2013 Q3,07/01/2013,09/30/2013,ROBBERY,20-29,M,WHI,false,false,NO,179
2020 Q4,10/01/2020,12/31/2020,BATTERY,70-79,F,BLK,false,false,NO,3
2011 Q2,03/01/2011,06/30/2011,ASSAULT,60-69,M,BLK,false,true,NO,4
2017 Q4,10/01/2017,12/31/2017,BATTERY,70-79,F,API,false,false,NO,1
2018 Q2,03/01/2018,06/30/2018,ASSAULT,40-49,F,UNKNOWN,false,false,NO,1
2003 Q4,10/01/2003,12/31/2003,ROBBERY,80+,M,BLK,false,false,UNKNOWN,15
2004 Q1,01/01/2004,03/31/2004,BATTERY,20-29,M,WWH,false,false,UNKNOWN,109
2002 Q4,10/01/2002,12/31/2002,CRIMINAL SEXUAL ASSAULT,0-19,F,WBH,true,true,UNKNOWN,2
2010 Q3,07/01/2010,09/30/2010,ASSAULT,50-59,M,API,false,false,NO,4
2012 Q1,01/01/2012,03/31/2012,BATTERY,30-39,M,WHI,false,false,NO,22
2016 Q1,01/01/2016,03/31/2016,ROBBERY,30-39,F,API,false,false,NO,7
2007 Q2,03/01/2007,06/30/2007,BATTERY,20-29,F,BLK,false,true,UNKNOWN,164
2014 Q4,10/01/2014,12/31/2014,ROBBERY,50-59,M,WWH,false,false,NO,25
2003 Q4,10/01/2003,12/31/2003,BATTERY,UNKNOWN,M,WWH,,true,UNKNOWN,1
2006 Q2,03/01/2006,06/30/2006,ASSAULT,0-19,M,BLK,true,true,UNKNOWN,10
2017 Q3,07/01/2017,09/30/2017,BATTERY,0-19,UNKNOWN,UNKNOWN,true,true,NO,1
2011 Q1,01/01/2011,03/31/2011,HOMICIDE,0-19,M,WWH,true,false,YES,1
2013 Q1,01/01/2013,03/31/2013,HOMICIDE,20-29,M,WBH,false,false,NO,1
2006 Q2,03/01/2006,06/30/2006,ROBBERY,40-49,F,BLK,false,false,UNKNOWN,116
2005 Q1,01/01/2005,03/31/2005,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,false,false,UNKNOWN,16
2017 Q1,01/01/2017,03/31/2017,ROBBERY,0-19,UNKNOWN,BLK,true,true,NO,1
2005 Q3,07/01/2005,09/30/2005,ROBBERY,30-39,M,WWH,false,false,UNKNOWN,157
2012 Q4,10/01/2012,12/31/2012,ROBBERY,0-19,M,WWH,true,false,NO,91
2005 Q4,10/01/2005,12/31/2005,ROBBERY,UNKNOWN,M,WWH,,false,UNKNOWN,4
2016 Q1,01/01/2016,03/31/2016,CRIMINAL SEXUAL ASSAULT,40-49,F,I,false,true,NO,1
2020 Q1,01/01/2020,03/31/2020,ROBBERY,40-49,M,I,false,false,NO,2
2011 Q1,01/01/2011,03/31/2011,HOMICIDE,0-19,M,BLK,false,false,YES,5
2015 Q4,10/01/2015,12/31/2015,BATTERY,30-39,M,WWH,false,true,NO,9
2017 Q2,03/01/2017,06/30/2017,ASSAULT,0-19,F,BLK,false,false,NO,20
2003 Q1,01/01/2003,03/31/2003,ASSAULT,50-59,F,WWH,false,false,UNKNOWN,1
2021 Q1,01/01/2021,03/31/2021,HOMICIDE,60-69,M,BLK,false,false,YES,1
2020 Q2,03/01/2020,06/30/2020,CRIMINAL SEXUAL ASSAULT,20-29,M,WHI,false,false,NO,1
2007 Q2,03/01/2007,06/30/2007,ROBBERY,30-39,M,I,false,false,UNKNOWN,1
2010 Q1,01/01/2010,03/31/2010,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,,false,NO,61
2004 Q1,01/01/2004,03/31/2004,ROBBERY,0-19,F,WHI,false,false,UNKNOWN,13
2008 Q1,01/01/2008,03/31/2008,BATTERY,0-19,M,API,true,false,UNKNOWN,3
2020 Q1,01/01/2020,03/31/2020,ROBBERY,20-29,F,UNKNOWN,false,false,NO,10
2010 Q3,07/01/2010,09/30/2010,ROBBERY,30-39,UNKNOWN,UNKNOWN,false,false,NO,9
2010 Q4,10/01/2010,12/31/2010,ROBBERY,60-69,UNKNOWN,UNKNOWN,false,false,NO,1
2003 Q1,01/01/2003,03/31/2003,HOMICIDE,30-39,M,BLK,false,false,YES,14
2003 Q3,07/01/2003,09/30/2003,ASSAULT,20-29,F,WWH,false,true,UNKNOWN,14
2012 Q4,10/01/2012,12/31/2012,ASSAULT,40-49,F,WWH,false,true,NO,6
1991 Q3,07/01/1991,09/30/1991,HOMICIDE,0-19,M,BLK,false,false,NO,1
2001 Q4,10/01/2001,12/31/2001,ASSAULT,30-39,M,API,false,false,UNKNOWN,11
2003 Q4,10/01/2003,12/31/2003,BATTERY,20-29,M,WHI,false,true,UNKNOWN,5
2019 Q1,01/01/2019,03/31/2019,HOMICIDE,0-19,M,WWH,false,false,YES,1
2012 Q3,07/01/2012,09/30/2012,BATTERY,40-49,M,WHI,false,true,NO,4
2020 Q1,01/01/2020,03/31/2020,BATTERY,50-59,F,BLK,false,true,NO,31
2001 Q3,07/01/2001,09/30/2001,ASSAULT,UNKNOWN,M,API,,false,UNKNOWN,1
2002 Q3,07/01/2002,09/30/2002,BATTERY,0-19,M,WWH,true,true,UNKNOWN,2
2011 Q3,07/01/2011,09/30/2011,BATTERY,50-59,UNKNOWN,UNKNOWN,false,true,NO,1
2003 Q2,03/01/2003,06/30/2003,HOMICIDE,30-39,F,WWH,false,true,YES,1
2003 Q4,10/01/2003,12/31/2003,ROBBERY,0-19,F,WWH,false,true,UNKNOWN,1
2005 Q1,01/01/2005,03/31/2005,ASSAULT,0-19,F,WWH,true,false,UNKNOWN,14
1996 Q4,10/01/1996,12/31/1996,HOMICIDE,0-19,M,WHI,true,false,YES,1
2017 Q4,10/01/2017,12/31/2017,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,false,false,NO,4
2002 Q1,01/01/2002,03/31/2002,ROBBERY,30-39,F,WBH,false,false,UNKNOWN,1
2017 Q2,03/01/2017,06/30/2017,ROBBERY,70-79,F,BLK,false,false,NO,13
2007 Q4,10/01/2007,12/31/2007,ROBBERY,0-19,UNKNOWN,UNKNOWN,true,false,UNKNOWN,2
2008 Q2,03/01/2008,06/30/2008,ASSAULT,UNKNOWN,F,BLK,,false,UNKNOWN,6
2007 Q2,03/01/2007,06/30/2007,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,false,false,UNKNOWN,5
2004 Q3,07/01/2004,09/30/2004,BATTERY,50-59,M,WWH,false,true,UNKNOWN,5
2008 Q2,03/01/2008,06/30/2008,ASSAULT,60-69,F,BLK,false,false,UNKNOWN,6
2009 Q1,01/01/2009,03/31/2009,ASSAULT,0-19,UNKNOWN,UNKNOWN,true,true,UNKNOWN,2
2013 Q4,10/01/2013,12/31/2013,ASSAULT,0-19,M,WHI,false,false,NO,2
2001 Q2,03/01/2001,06/30/2001,HOMICIDE,30-39,F,BLK,false,false,NO,3
2021 Q3,07/01/2021,09/30/2021,ASSAULT,UNKNOWN,F,BLK,,false,NO,22
2003 Q1,01/01/2003,03/31/2003,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,false,true,UNKNOWN,2
2010 Q3,07/01/2010,09/30/2010,BATTERY,40-49,UNKNOWN,BLK,false,true,NO,1
2005 Q4,10/01/2005,12/31/2005,ROBBERY,60-69,M,WWH,false,false,UNKNOWN,17
2003 Q2,03/01/2003,06/30/2003,ROBBERY,UNKNOWN,M,I,,false,UNKNOWN,1
2021 Q2,03/01/2021,06/30/2021,ASSAULT,0-19,F,WHI,true,false,NO,2
2003 Q3,07/01/2003,09/30/2003,ROBBERY,0-19,UNKNOWN,UNKNOWN,true,false,UNKNOWN,5
2011 Q1,01/01/2011,03/31/2011,BATTERY,40-49,M,WWH,false,false,NO,5
2004 Q2,03/01/2004,06/30/2004,BATTERY,0-19,M,UNKNOWN,false,false,UNKNOWN,1
2008 Q3,07/01/2008,09/30/2008,BATTERY,30-39,F,WWH,false,false,UNKNOWN,21
2009 Q1,01/01/2009,03/31/2009,ROBBERY,20-29,F,WWH,false,false,UNKNOWN,49
2012 Q2,03/01/2012,06/30/2012,ROBBERY,50-59,M,I,false,false,NO,1
2001 Q4,10/01/2001,12/31/2001,ROBBERY,30-39,M,WWH,false,false,UNKNOWN,175
2002 Q1,01/01/2002,03/31/2002,HOMICIDE,70-79,M,WHI,false,false,NO,1
2012 Q1,01/01/2012,03/31/2012,CRIMINAL SEXUAL ASSAULT,30-39,M,WHI,false,false,NO,1
2009 Q1,01/01/2009,03/31/2009,BATTERY,70-79,M,BLK,false,true,UNKNOWN,3
2001 Q3,07/01/2001,09/30/2001,ROBBERY,40-49,F,UNKNOWN,false,false,UNKNOWN,1
2002 Q2,03/01/2002,06/30/2002,ASSAULT,40-49,M,WBH,false,false,UNKNOWN,1
2018 Q1,01/01/2018,03/31/2018,ROBBERY,30-39,M,UNKNOWN,false,false,NO,14
2001 Q3,07/01/2001,09/30/2001,BATTERY,30-39,F,BLK,false,true,UNKNOWN,145
2009 Q4,10/01/2009,12/31/2009,BATTERY,50-59,M,BLK,false,false,UNKNOWN,54
2011 Q2,03/01/2011,06/30/2011,BATTERY,30-39,F,API,false,false,NO,2
2009 Q1,01/01/2009,03/31/2009,HOMICIDE,20-29,M,BLK,false,false,NO,1
2008 Q1,01/01/2008,03/31/2008,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,false,true,UNKNOWN,1
2013 Q2,03/01/2013,06/30/2013,ASSAULT,20-29,F,WHI,false,true,NO,4
2019 Q2,03/01/2019,06/30/2019,CRIMINAL SEXUAL ASSAULT,60-69,F,BLK,false,true,NO,2
2010 Q4,10/01/2010,12/31/2010,ROBBERY,20-29,F,UNKNOWN,false,false,NO,13
1999 Q4,10/01/1999,12/31/1999,HOMICIDE,30-39,F,BLK,false,false,NO,3
2016 Q3,07/01/2016,09/30/2016,CRIMINAL SEXUAL ASSAULT,0-19,F,API,true,true,NO,2
2018 Q1,01/01/2018,03/31/2018,BATTERY,40-49,M,BLK,false,true,NO,38
2016 Q4,10/01/2016,12/31/2016,ASSAULT,30-39,M,UNKNOWN,false,true,NO,1
2018 Q4,10/01/2018,12/31/2018,BATTERY,60-69,M,BLK,false,false,NO,32
2008 Q4,10/01/2008,12/31/2008,BATTERY,40-49,M,UNKNOWN,false,false,UNKNOWN,1
2001 Q1,01/01/2001,03/31/2001,BATTERY,40-49,F,BLK,false,false,UNKNOWN,58
2001 Q3,07/01/2001,09/30/2001,ROBBERY,20-29,M,I,false,false,UNKNOWN,4
2014 Q1,01/01/2014,03/31/2014,CRIMINAL SEXUAL ASSAULT,20-29,F,BLK,false,false,NO,32
2007 Q2,03/01/2007,06/30/2007,ROBBERY,0-19,M,API,false,false,UNKNOWN,3
2000 Q2,03/01/2000,06/30/2000,HOMICIDE,20-29,F,BLK,false,false,YES,2
2008 Q3,07/01/2008,09/30/2008,ROBBERY,60-69,M,BLK,false,true,UNKNOWN,3
2006 Q3,07/01/2006,09/30/2006,ASSAULT,40-49,M,BLK,false,true,UNKNOWN,36
2013 Q3,07/01/2013,09/30/2013,HOMICIDE,70-79,M,BLK,false,false,NO,1
2020 Q2,03/01/2020,06/30/2020,HOMICIDE,0-19,F,BLK,false,false,YES,3
2002 Q2,03/01/2002,06/30/2002,BATTERY,40-49,M,WWH,false,true,UNKNOWN,8
2020 Q1,01/01/2020,03/31/2020,ROBBERY,60-69,UNKNOWN,UNKNOWN,false,false,NO,1
2003 Q2,03/01/2003,06/30/2003,ROBBERY,20-29,M,WWH,false,false,UNKNOWN,241
2018 Q2,03/01/2018,06/30/2018,ROBBERY,60-69,M,API,false,false,NO,8
1993 Q3,07/01/1993,09/30/1993,HOMICIDE,60-69,M,BLK,false,false,YES,1
2009 Q3,07/01/2009,09/30/2009,ASSAULT,0-19,M,UNKNOWN,false,true,UNKNOWN,1
2004 Q1,01/01/2004,03/31/2004,ROBBERY,80+,M,API,false,false,UNKNOWN,3
2001 Q2,03/01/2001,06/30/2001,HOMICIDE,0-19,M,WBH,false,false,YES,1
2016 Q2,03/01/2016,06/30/2016,ROBBERY,20-29,UNKNOWN,UNKNOWN,false,false,NO,7
2010 Q4,10/01/2010,12/31/2010,ROBBERY,40-49,M,I,false,false,NO,1
2010 Q3,07/01/2010,09/30/2010,HOMICIDE,0-19,M,WWH,true,false,YES,2
2006 Q3,07/01/2006,09/30/2006,ROBBERY,0-19,F,BLK,true,false,UNKNOWN,49
2009 Q2,03/01/2009,06/30/2009,ASSAULT,30-39,UNKNOWN,UNKNOWN,false,false,UNKNOWN,6
2005 Q2,03/01/2005,06/30/2005,ASSAULT,30-39,F,WWH,false,true,UNKNOWN,14
2007 Q4,10/01/2007,12/31/2007,BATTERY,80+,F,WWH,false,true,UNKNOWN,1
1991 Q1,01/01/1991,03/31/1991,HOMICIDE,20-29,M,WHI,false,false,YES,6
2010 Q1,01/01/2010,03/31/2010,BATTERY,70-79,F,BLK,false,false,NO,1
2001 Q4,10/01/2001,12/31/2001,ASSAULT,0-19,M,I,false,false,UNKNOWN,1
2008 Q4,10/01/2008,12/31/2008,ROBBERY,30-39,M,BLK,false,true,UNKNOWN,4
2010 Q4,10/01/2010,12/31/2010,BATTERY,50-59,F,BLK,false,true,NO,21
2017 Q3,07/01/2017,09/30/2017,ASSAULT,70-79,M,BLK,false,true,NO,1
2003 Q2,03/01/2003,06/30/2003,BATTERY,0-19,F,WHI,false,false,UNKNOWN,7
2013 Q2,03/01/2013,06/30/2013,BATTERY,70-79,M,WWH,false,true,NO,1
2021 Q2,03/01/2021,06/30/2021,ASSAULT,40-49,M,BLK,false,false,NO,83
2015 Q2,03/01/2015,06/30/2015,ROBBERY,30-39,M,WHI,false,false,NO,40
2019 Q1,01/01/2019,03/31/2019,BATTERY,80+,M,WHI,false,true,NO,1
2011 Q3,07/01/2011,09/30/2011,ROBBERY,60-69,F,BLK,false,false,NO,13
2008 Q4,10/01/2008,12/31/2008,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,false,false,UNKNOWN,4
2002 Q4,10/01/2002,12/31/2002,HOMICIDE,20-29,M,WHI,false,false,YES,1
2019 Q1,01/01/2019,03/31/2019,ROBBERY,20-29,M,BLK,false,false,NO,153
2014 Q2,03/01/2014,06/30/2014,BATTERY,50-59,M,WHI,false,true,NO,1
2016 Q4,10/01/2016,12/31/2016,BATTERY,0-19,F,BLK,true,true,NO,14
2001 Q4,10/01/2001,12/31/2001,BATTERY,60-69,F,BLK,false,true,UNKNOWN,3
2018 Q2,03/01/2018,06/30/2018,CRIMINAL SEXUAL ASSAULT,30-39,F,WHI,false,false,NO,17
2011 Q2,03/01/2011,06/30/2011,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,,true,NO,24
2016 Q2,03/01/2016,06/30/2016,ASSAULT,40-49,M,API,false,false,NO,2
2006 Q1,01/01/2006,03/31/2006,ASSAULT,30-39,M,BLK,false,false,UNKNOWN,95
2019 Q3,07/01/2019,09/30/2019,BATTERY,20-29,M,UNKNOWN,false,false,NO,2
2018 Q3,07/01/2018,09/30/2018,ASSAULT,0-19,F,UNKNOWN,true,false,NO,7
2017 Q2,03/01/2017,06/30/2017,ROBBERY,30-39,UNKNOWN,BLK,false,false,NO,1
2009 Q1,01/01/2009,03/31/2009,ASSAULT,UNKNOWN,F,BLK,,true,UNKNOWN,4
1994 Q2,03/01/1994,06/30/1994,HOMICIDE,UNKNOWN,M,BLK,,false,NO,1
2007 Q4,10/01/2007,12/31/2007,BATTERY,0-19,M,BLK,false,false,UNKNOWN,81
1993 Q2,03/01/1993,06/30/1993,HOMICIDE,30-39,F,BLK,false,false,YES,4
2017 Q4,10/01/2017,12/31/2017,ASSAULT,20-29,M,BLK,false,true,NO,40
2020 Q2,03/01/2020,06/30/2020,ASSAULT,50-59,M,UNKNOWN,false,false,NO,1
2005 Q2,03/01/2005,06/30/2005,HOMICIDE,30-39,M,WWH,false,false,YES,3
2020 Q4,10/01/2020,12/31/2020,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,,false,NO,57
2005 Q3,07/01/2005,09/30/2005,HOMICIDE,20-29,F,WWH,false,true,NO,1
2005 Q2,03/01/2005,06/30/2005,BATTERY,60-69,M,WHI,false,true,UNKNOWN,3
2006 Q1,01/01/2006,03/31/2006,BATTERY,0-19,F,UNKNOWN,true,false,UNKNOWN,1
1992 Q3,07/01/1992,09/30/1992,HOMICIDE,60-69,M,WHI,false,false,NO,1
2009 Q2,03/01/2009,06/30/2009,BATTERY,0-19,M,BLK,false,false,UNKNOWN,127
2020 Q3,07/01/2020,09/30/2020,CRIMINAL SEXUAL ASSAULT,30-39,F,API,false,true,NO,1
2014 Q3,07/01/2014,09/30/2014,ASSAULT,0-19,F,WWH,false,true,NO,2
2021 Q1,01/01/2021,03/31/2021,ROBBERY,40-49,M,BLK,false,true,NO,2
2003 Q1,01/01/2003,03/31/2003,ASSAULT,20-29,M,WWH,false,true,UNKNOWN,6
2014 Q4,10/01/2014,12/31/2014,ROBBERY,20-29,F,WWH,false,true,NO,4
2017 Q3,07/01/2017,09/30/2017,CRIMINAL SEXUAL ASSAULT,30-39,F,BLK,false,true,NO,7
2009 Q4,10/01/2009,12/31/2009,ROBBERY,0-19,M,API,false,false,UNKNOWN,3
2016 Q3,07/01/2016,09/30/2016,ASSAULT,50-59,UNKNOWN,UNKNOWN,false,false,NO,1
2012 Q3,07/01/2012,09/30/2012,ASSAULT,60-69,M,WWH,false,false,NO,2
2001 Q2,03/01/2001,06/30/2001,BATTERY,0-19,M,BLK,true,false,UNKNOWN,419
2015 Q4,10/01/2015,12/31/2015,ROBBERY,0-19,M,WBH,true,false,NO,2
2013 Q1,01/01/2013,03/31/2013,ROBBERY,20-29,F,WHI,false,false,NO,92
2005 Q3,07/01/2005,09/30/2005,ASSAULT,0-19,M,WWH,true,false,UNKNOWN,43
2008 Q3,07/01/2008,09/30/2008,ROBBERY,50-59,UNKNOWN,BLK,false,false,UNKNOWN,1
2016 Q3,07/01/2016,09/30/2016,CRIMINAL SEXUAL ASSAULT,60-69,F,WHI,false,false,NO,1
2018 Q3,07/01/2018,09/30/2018,ASSAULT,0-19,UNKNOWN,UNKNOWN,false,false,NO,1
2002 Q1,01/01/2002,03/31/2002,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,false,true,UNKNOWN,1
2016 Q2,03/01/2016,06/30/2016,BATTERY,60-69,M,BLK,false,false,NO,18
1998 Q1,01/01/1998,03/31/1998,HOMICIDE,40-49,F,WWH,false,true,YES,1
2013 Q4,10/01/2013,12/31/2013,ROBBERY,50-59,M,WBH,false,false,NO,1
2016 Q4,10/01/2016,12/31/2016,ROBBERY,60-69,M,API,false,false,NO,6
2010 Q1,01/01/2010,03/31/2010,ASSAULT,50-59,F,API,false,false,NO,1
2021 Q2,03/01/2021,06/30/2021,BATTERY,60-69,M,API,false,false,NO,2
2015 Q4,10/01/2015,12/31/2015,ASSAULT,40-49,F,WBH,false,true,NO,2
2018 Q4,10/01/2018,12/31/2018,ROBBERY,20-29,UNKNOWN,UNKNOWN,false,false,NO,2
2001 Q4,10/01/2001,12/31/2001,ROBBERY,0-19,M,API,true,false,UNKNOWN,2
2014 Q3,07/01/2014,09/30/2014,ASSAULT,80+,M,BLK,false,false,NO,2
2010 Q3,07/01/2010,09/30/2010,ASSAULT,0-19,UNKNOWN,UNKNOWN,true,false,NO,5
2010 Q2,03/01/2010,06/30/2010,BATTERY,0-19,F,BLK,false,true,NO,30
2007 Q1,01/01/2007,03/31/2007,HOMICIDE,20-29,F,WWH,false,true,NO,1
2016 Q3,07/01/2016,09/30/2016,ROBBERY,30-39,M,API,false,false,NO,28
2005 Q1,01/01/2005,03/31/2005,HOMICIDE,0-19,M,BLK,false,false,YES,2
2005 Q3,07/01/2005,09/30/2005,CRIMINAL SEXUAL ASSAULT,40-49,M,BLK,false,false,UNKNOWN,3
2008 Q2,03/01/2008,06/30/2008,HOMICIDE,0-19,F,BLK,true,false,YES,1
2006 Q2,03/01/2006,06/30/2006,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,false,false,UNKNOWN,3
2015 Q3,07/01/2015,09/30/2015,ASSAULT,40-49,M,WHI,false,false,NO,11
2012 Q4,10/01/2012,12/31/2012,BATTERY,60-69,F,WHI,false,false,NO,2
2007 Q1,01/01/2007,03/31/2007,HOMICIDE,20-29,F,BLK,false,true,NO,1
2021 Q1,01/01/2021,03/31/2021,BATTERY,30-39,M,UNKNOWN,false,false,NO,2
2021 Q1,01/01/2021,03/31/2021,ASSAULT,0-19,F,BLK,true,false,NO,20
2004 Q4,10/01/2004,12/31/2004,ASSAULT,20-29,M,WHI,false,false,UNKNOWN,57
2012 Q3,07/01/2012,09/30/2012,BATTERY,30-39,F,WHI,false,false,NO,6
2009 Q3,07/01/2009,09/30/2009,ASSAULT,20-29,M,API,false,false,UNKNOWN,9
2018 Q2,03/01/2018,06/30/2018,BATTERY,0-19,F,BLK,true,true,NO,20
2020 Q3,07/01/2020,09/30/2020,ROBBERY,20-29,M,UNKNOWN,false,false,NO,18
2004 Q3,07/01/2004,09/30/2004,BATTERY,20-29,F,WWH,false,false,UNKNOWN,26
2012 Q4,10/01/2012,12/31/2012,ASSAULT,30-39,M,WWH,false,false,NO,43
2004 Q1,01/01/2004,03/31/2004,BATTERY,50-59,F,WWH,false,true,UNKNOWN,3
2005 Q1,01/01/2005,03/31/2005,ROBBERY,30-39,F,WWH,false,false,UNKNOWN,22
2010 Q3,07/01/2010,09/30/2010,CRIMINAL SEXUAL ASSAULT,0-19,M,WHI,true,false,NO,1
2011 Q3,07/01/2011,09/30/2011,CRIMINAL SEXUAL ASSAULT,40-49,F,WWH,false,false,NO,1
2009 Q1,01/01/2009,03/31/2009,ASSAULT,50-59,M,API,false,true,UNKNOWN,2
2006 Q2,03/01/2006,06/30/2006,HOMICIDE,50-59,F,BLK,false,false,NO,1
2002 Q3,07/01/2002,09/30/2002,ROBBERY,30-39,M,WBH,false,false,UNKNOWN,3
2005 Q4,10/01/2005,12/31/2005,BATTERY,0-19,F,WHI,true,false,UNKNOWN,7
1998 Q1,01/01/1998,03/31/1998,HOMICIDE,30-39,M,WHI,false,false,YES,3
2018 Q2,03/01/2018,06/30/2018,ASSAULT,30-39,M,UNKNOWN,false,true,NO,3
2023 Q3,07/01/2023,09/30/2023,CRIMINAL SEXUAL ASSAULT,20-29,F,BLK,false,true,NO,16
2009 Q3,07/01/2009,09/30/2009,ROBBERY,40-49,UNKNOWN,UNKNOWN,false,false,UNKNOWN,5
2007 Q3,07/01/2007,09/30/2007,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,,false,UNKNOWN,71
